year,Attribute,Value
1980,International,0.2
1980,Domestic,0.6
1980,Total,0.8
1981,International,0.2
1981,Domestic,0.6
1981,Total,0.8
1982,International,0.2
1982,Domestic,0.6
1982,Total,0.8
1983,International,0.2
1983,Domestic,0.7
1983,Total,0.9
1984,International,0.2
1984,Domestic,0.7
1984,Total,0.9
1985,International,0.2
1985,Domestic,0.8
1985,Total,1
1986,International,0.2
1986,Domestic,0.8
1986,Total,1
1987,International,0.2
1987,Domestic,0.9
1987,Total,1.1
1988,International,0.2
1988,Domestic,0.9
1988,Total,1.1
1989,International,0.3
1989,Domestic,0.9
1989,Total,1.2
1990,International,0.3
1990,Domestic,1
1990,Total,1.3
1991,International,0.3
1991,Domestic,0.9
1991,Total,1.2
1992,International,0.3
1992,Domestic,0.9
1992,Total,1.2
1993,International,0.3
1993,Domestic,0.9
1993,Total,1.2
1994,International,0.3
1994,Domestic,1
1994,Total,1.3
1995,International,0.4
1995,Domestic,1
1995,Total,1.4
1996,International,0.4
1996,Domestic,1.1
1996,Total,1.5
1997,International,0.4
1997,Domestic,1.1
1997,Total,1.5
1998,International,0.5
1998,Domestic,1.1
1998,Total,1.6
1999,International,0.5
1999,Domestic,1.2
1999,Total,1.7
2000,International,0.6
2000,Domestic,1.2
2000,Total,1.8
2001,International,0.6
2001,Domestic,1.2
2001,Total,1.8
2002,International,0.6
2002,Domestic,1.2
2002,Total,1.8
2003,International,0.6
2003,Domestic,1.2
2003,Total,1.8
2004,International,0.7
2004,Domestic,1.3
2004,Total,2
2005,International,0.7
2005,Domestic,1.4
2005,Total,2.1
2006,International,0.8
2006,Domestic,1.5
2006,Total,2.3
2007,International,0.9
2007,Domestic,1.6
2007,Total,2.5
2008,International,0.9
2008,Domestic,1.6
2008,Total,2.5
2009,International,0.9
2009,Domestic,1.6
2009,Total,2.5
2010,International,1
2010,Domestic,1.7
2010,Total,2.7
2011,International,1.1
2011,Domestic,1.7
2011,Total,2.8
2012,International,1.2
2012,Domestic,1.8
2012,Total,3
2013,International,1.3
2013,Domestic,1.9
2013,Total,3.2
2014,International,1.3
2014,Domestic,2
2014,Total,3.3
2015,International,1.4
2015,Domestic,2.1
2015,Total,3.5
2016,International,1.5
2016,Domestic,2.3
2016,Total,3.8
2017,International,1.7
2017,Domestic,2.4
2017,Total,4.1
2018,International,1.8
2018,Domestic,2.6
2018,Total,4.4
2019,International,1.9
2019,Domestic,2.7
2019,Total,4.6
2020,International,0.5
2020,Domestic,1.4
2020,Total,1.9
